,index,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,year_month
0,Banqiao(Bannan Line),37132.25,42351.5,42424.5,42629.8,42234.8,43307.2,40726.25,202001
1,Banqiao(Bannan Line),27436.5,36645.75,37047.0,37322.0,38648.0,37894.75,31275.0,202002
2,Banqiao(Bannan Line),22901.2,33809.0,34202.8,34830.5,34850.0,38689.75,26468.0,202003
3,Banqiao(Bannan Line),19008.75,31378.0,31250.5,32761.2,30745.8,31257.0,21755.25,202004
4,Banqiao(Bannan Line),25436.2,34404.75,33885.5,35659.75,36121.75,39018.2,29661.8,202005
5,Banqiao(Bannan Line),29393.5,37075.6,37726.2,39387.5,36106.0,39271.25,35660.75,202006
6,Banqiao(Bannan Line),32072.5,39072.25,40135.75,39963.4,40446.2,44019.0,37739.0,202007
7,Banqiao(Bannan Line),32353.8,39046.6,40352.0,40879.75,41634.25,45406.0,38678.2,202008
8,Banqiao(Bannan Line),33760.25,39305.0,39397.8,40685.8,40374.0,44137.25,39643.5,202009
9,Banqiao(Bannan Line),33950.0,39079.5,39922.75,39924.75,40245.8,42680.0,39608.0,202010
10,Banqiao(Bannan Line),46157.0,42650.4,42249.25,43566.0,44211.75,52670.5,61906.25,202011
11,Banqiao(Bannan Line),60382.75,48089.5,45891.8,46387.6,50125.0,61777.25,90051.5,202012
12,Banqiao(Bannan Line),29438.6,37950.75,38124.75,38929.25,38723.0,41254.4,34029.8,202101
13,Banqiao(Bannan Line),30749.5,36053.25,36048.5,35153.5,33537.0,37715.0,34012.25,202102
14,Banqiao(Bannan Line),32609.5,37206.8,38813.6,39417.0,39527.25,44764.25,37841.75,202103
15,Banqiao(Bannan Line),32780.75,36324.5,38891.0,39813.25,41428.8,43055.2,38381.0,202104
16,Banqiao(Bannan Line),14144.4,21204.0,23219.5,22519.75,21997.5,23501.25,17861.6,202105
17,Banqiao(Bannan Line),3217.5,7890.0,9418.8,9275.8,8942.0,9322.0,3932.75,202106
18,Banqiao(Bannan Line),5082.5,13119.0,13784.5,13934.5,13253.2,13867.4,6858.4,202107
19,Banqiao(Bannan Line),11677.8,21787.4,22377.2,22336.5,22268.5,24164.0,15224.75,202108
20,Banqiao(Bannan Line),13027.5,22862.75,22464.0,25323.6,25516.4,27082.25,18939.0,202109
21,Banqiao(Bannan Line),23478.0,27834.75,30484.5,31352.75,31975.25,35285.2,28015.2,202110
22,Banqiao(Bannan Line),29307.5,33843.0,33784.6,34190.25,34829.75,40328.5,34199.75,202111
23,Banqiao(Bannan Line),47992.0,39664.75,39550.5,40675.4,42773.2,51142.4,69581.0,202112
24,Banqiao(Bannan Line),23442.8,28466.2,32381.0,32756.75,33298.75,35894.75,30176.2,202201
25,Banqiao(Bannan Line),24006.75,30872.75,27668.5,28718.0,28815.75,32385.0,27156.0,202202
26,Banqiao(Bannan Line),27939.0,34914.5,34604.6,34990.8,35240.8,40386.75,34451.0,202203
27,Banqiao(Bannan Line),19777.75,26596.5,26336.0,29217.5,28890.5,33147.4,23186.0,202204
28,Banqiao(Bannan Line),13799.6,21082.6,22378.6,22616.25,22388.25,24358.0,16196.5,202205
29,Banqiao(Bannan Line),18782.0,26633.0,27063.75,27227.4,27905.4,26904.25,21782.0,202206
30,Banqiao(Bannan Line),24232.2,30978.25,31274.5,32221.5,32270.25,34956.0,28229.2,202207
31,Banqiao(Bannan Line),26400.75,32252.8,32626.6,33491.6,34005.5,37221.5,31059.5,202208
32,Banqiao(Bannan Line),24153.25,32618.75,33228.0,33960.5,34653.8,35756.6,27937.5,202209
33,Banqiao(Bannan Line),27083.6,32389.4,33728.0,34856.75,35477.75,40823.5,34010.6,202210
34,Banqiao(Bannan Line),38462.75,37893.0,37280.8,38041.6,38321.25,46456.0,49089.5,202211
35,Banqiao(Circular Line),4622.75,3587.25,3417.25,2415.8,2028.2,2011.0,2360.0,202001
36,Banqiao(Circular Line),9862.0,8474.0,8374.5,8559.0,8933.25,9748.25,10159.2,202002
37,Banqiao(Circular Line),5443.4,5774.6,5865.4,5858.5,5994.0,7264.75,5866.0,202003
38,Banqiao(Circular Line),4276.25,5315.0,5261.0,5633.4,5653.4,6019.75,4514.25,202004
