,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Songshan Airport ,0.8746518105849583,0.13847990449661762,0.13012335853561474,0.5097493036211698,0.4532431356943891,0.439315559092718,0.5228810187027455,0.7437325905292478,0.0879426979705531,0.10505372065260632,1.0,0.5925189017111023,0.49224035017906864,0.5598885793871866,0.806207719856745,0.2674094707520891,0.274174293672901,0.6506167926780742,0.37803422204536385,0.4747313967369675,0.544767210505372,0.6908077994428967,0.0,0.14842817349781123,0.5690409868682851,0.49343414245921213,0.44528452049343414,0.4807003581376841,0.6760843613211303,0.0947075208913648
Linguang,0.5818921668362154,0.5869786368260423,0.0,0.42217700915564604,0.6500508646998981,0.7060020345879958,0.5707019328585958,0.9999999999999996,0.5737538148524925,0.29196337741607303,0.7548321464903354,0.7843336724313326,0.6124109867751781,0.6510681586978637,0.8921668362156665,0.745676500508647,0.81586978636826,0.648016276703967,0.6775178026449642,0.16785350966429302,0.8392675483214647,0.77822990844354,0.5717192268565614,0.013224821973550238,0.7171922685656154,0.5269582909460833,0.5106815869786367,0.6571719226856563,0.820956256358087,0.44252288911495397
Xinhai,0.4871205151793927,0.19365225390984353,0.0,0.37304507819687216,0.40340386384544624,0.3882244710211591,0.46550137994480223,0.49862005519779196,0.250689972401104,0.08371665133394668,0.4342226310947561,0.47148114075436975,0.4599816007359705,0.4236430542778289,0.5303587856485741,0.3040478380864764,0.13523459061637522,0.4429622815087395,0.47470101195952163,1.0,0.8086476540938361,0.4908003679852806,0.26632934682612697,0.041398344066237325,0.4323827046918123,0.47102115915363374,0.43192272309107627,0.45814167433302666,0.5151793928242869,0.24471021159153628
Wende ,0.49298711144806673,0.11182714177407127,0.0,0.40959059893858984,0.4382107657316149,0.4363153904473086,0.45697498104624723,0.565011372251706,1.0,0.07221379833206976,0.45943896891584546,0.4660727824109173,0.4702426080363912,0.4850265352539803,0.5807429871114481,0.2001516300227445,0.12149355572403342,0.4393479909021988,0.44238059135708874,0.40485216072782404,0.45943896891584546,0.5085291887793782,0.09401061410159217,0.03487490523123582,0.42987111448066717,0.43214556482183475,0.4571645185746779,0.46341925701288866,0.5350644427596664,0.09628506444275975
Taipei Nangang Exhibition Center,0.6463498622589532,0.2692837465564739,0.0006887052341597588,0.2671028466483012,0.34263085399449045,0.36210590756045313,0.37350780532598726,0.9455922865013775,0.6905417814508723,0.5420110192837466,0.8710973370064279,0.31485307621671255,0.32208448117539024,0.3393786348331802,1.0,0.8486378940924395,0.6391184573002755,0.8173783287419651,0.2954545454545454,0.330463728191001,0.310223446587083,0.4696969696969697,0.22593357820630544,0.0,0.4030456075910622,0.3045990205081115,0.3230792776247322,0.33402203856749324,0.3850244872972146,0.2948806244260791
Gongguan ,0.5641682261400573,0.6465084211563088,0.0,0.1361174037230377,0.2737122032896684,0.31409435634787775,0.3340884467645031,0.697921796513346,1.0,0.4292327390918942,0.3969270166453267,0.38806264158376846,0.40559440559440585,0.39909386388259627,0.6698512754850783,0.9048557076726094,0.5703732886831481,0.2673101546340986,0.3546734955185662,0.43661971830985946,0.4547424406579337,0.8125677139761649,0.7172264355362947,0.33704323845168904,0.3006008076430611,0.39909386388259627,0.39594208608293124,0.5035949965527431,0.8625036934896091,0.8857480547621392
Taipower Building ,0.7714053614947196,0.5259138911454104,0.0,0.36669374492282714,0.5311129163281882,0.6043866774979691,0.6160844841592201,0.9439480097481723,0.785377741673436,0.23883021933387472,0.5134037367993503,0.5462225832656378,0.6115353371242893,0.6298943948009748,0.951421608448416,0.7379366368805846,0.3444354183590579,0.5415109666937448,0.6459788789601948,0.6791226645004063,0.7350121852152722,1.0,0.7057676685621446,0.24809098294069853,0.4776604386677499,0.6131600324939073,0.6047116165718927,0.7415109666937449,0.9731925264012995,0.8307067424857837
Chiang Kai-Shek Memorial Hall,0.8923829489867225,0.5951549033310042,0.1368506871651527,0.475075704635453,0.6342883764267415,0.6165851385977175,0.6618914511996277,0.8660610295830424,0.27568134171907754,0.0,0.42580945725599806,0.6352201257861636,0.767295597484277,0.7846494293035176,1.0,0.6651525739576054,0.592359655252737,0.30607966457023084,0.6503610528767765,0.6164686699277895,0.7222222222222223,0.9552760307477288,0.21791288143489407,0.045539249941765725,0.3803866759841603,0.6488469601677149,0.733985557884929,0.7781271837875612,0.9610994642441186,0.42953645469368773
Jiantan ,0.6445822994210091,0.7684036393713813,0.0,0.20016542597187748,0.3174524400330849,0.3977667493796524,0.34094292803970205,0.6754342431761784,0.92944582299421,0.42572373862696455,0.43126550868486335,0.4575682382133994,0.4561621174524402,0.4912324234904881,0.8536807278742762,1.0,0.513895781637717,0.32506203473945394,0.39478908188585615,0.3873449131513649,0.40256410256410247,0.6763440860215053,0.7000827129859388,0.36137303556658384,0.25765095119933834,0.4547559966914805,0.481968569065343,0.4559139784946238,0.7715467328370553,0.8629445822994208
Shilin ,0.3974175719458739,0.3572994091862016,0.0,0.2559557842576712,0.2778254240518392,0.3135601295978656,0.3363826948732609,0.44344387268915586,0.4554030874785593,0.25757575757575757,0.2930722317514771,0.332380407852106,0.3420526014865639,0.3599676005336383,0.4870402134553078,0.445540308747856,0.18682104059462556,0.2962168858395273,0.3313798360968172,0.3592052601486564,0.3985134362492855,0.5390222984562607,0.729035639412998,0.6662854964741758,0.42724413950829043,0.6056317895940537,0.7043072231751477,0.5918620163903183,0.8225176291214027,1.0000000000000002
