,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Zhongxiao Fuxing,Taipei Zoo,Xindian ,Xinbeitou,Dahu Park ,Taipei 101/World Trade Center,Tamsui,Sanchong ,Taipei Main Station,Daan Park,Ximen ,Jiannan Rd. ,Taipei Nangang Exhibition Center,Yuanshan
1,18736,22873,35362,3222,35788,3874,9798,4086,2679,23724,25934,6809,97987,6477,46251,9757,25063,23323
2,19331,23050,36735,3199,36458,4356,10254,4368,2921,24745,27419,6842,100587,6697,48514,10100,26134,23966
3,20272,23439,38224,3226,37400,4412,10370,4715,3116,24611,28601,6901,105880,7106,49064,10114,27017,25534
4,24685,26119,45970,3375,44432,4397,10617,4912,3045,28998,29322,7253,140922,7322,59840,11344,36355,28545
5,19038,25479,47826,3773,41220,7350,10529,6153,3606,24324,29208,6650,125511,10226,64712,11661,26631,29717
6,15311,20768,38598,3623,31638,6974,9285,5471,2739,21114,29542,5951,110720,10100,52636,9792,23202,26065
7,19559,23111,35033,2828,35245,4394,10225,4218,2906,24561,27917,6713,102470,6766,47322,9885,33732,23282
8,18963,23958,36781,3050,36712,4243,10083,4595,2915,23858,27012,7086,103893,6710,48301,9822,25771,23605
9,19349,25845,39374,3120,38860,5498,10981,4681,3066,24572,29945,7058,107053,7537,50263,10750,26395,24903
10,20077,25966,40247,3371,57291,5430,11009,4609,3046,26846,29927,7002,112624,7552,51126,10586,27863,25229
11,24408,29698,49432,3841,59067,5728,11796,5289,3317,31171,32798,7555,153047,8234,64048,12514,34197,27603
12,20277,28995,52103,3663,59192,11208,12472,6019,5120,27914,37466,8875,146044,12846,73946,13082,24899,29445
13,17183,23580,39115,3103,42614,8391,10734,5296,3513,22455,34449,6013,127454,11541,55805,9897,18810,24783
14,18010,24297,35859,3057,46280,5009,10283,4225,3055,23939,30893,6634,107720,6962,49281,10118,25060,23337
15,18539,25145,37162,3099,44090,5459,10609,4517,3030,24040,29612,6961,106755,7412,49597,10381,26086,24612
16,19593,25107,39731,3101,48778,4630,10700,4559,2924,24628,28857,6920,110959,7148,51028,10675,26352,25212
17,19554,26431,40036,3251,46592,5953,11031,4718,3114,25956,30721,7046,114948,7419,51595,10756,27334,27510
18,27086,28495,48583,3341,57276,6113,11298,5785,3452,28552,32819,7476,154462,8080,62831,12717,49106,30377
19,22113,28929,52885,3360,52433,10951,11438,5970,4239,24959,36224,7643,145439,11730,72249,12524,48894,30156
20,19295,22400,40082,3039,47072,8256,9871,5557,3297,20549,34794,5981,132041,9054,57051,9689,42016,22601
21,22256,24412,36455,3005,49203,5722,10369,4391,3145,23884,30802,6903,110340,7241,48335,10136,42943,23695
22,18434,25533,37627,3102,36688,5642,10682,4641,2954,23736,29762,6742,106727,7244,48756,10194,26098,25084
23,19572,24865,40000,3238,37122,4329,10374,4843,2770,24886,27439,7026,109368,6951,51315,10518,25962,24409
24,20811,24511,40472,3578,38648,4199,10415,4919,2832,26302,26847,6993,118171,6947,51464,10676,25993,24321
25,25376,26299,48772,3557,45209,4851,11129,5442,3132,30412,29424,7789,163156,7668,61343,12269,27200,27242
26,16126,21833,46903,3095,37468,5110,9028,5296,2554,21577,26275,5377,119806,7869,61772,11079,13526,21769
27,14379,23216,41039,3092,29508,7666,10112,5164,3224,20925,32993,6064,123231,9075,51703,9227,13825,26838
28,18738,25467,37110,3006,34726,5275,10736,4382,3207,24833,31534,6939,109978,7209,49092,9799,25601,24461
29,19116,26430,38709,3081,36199,5386,10828,4851,3103,24644,30723,7244,108040,7479,50432,10369,26367,25677
30,20219,25716,41070,3344,38197,4460,10659,5016,3093,25567,28843,7034,109403,7201,52853,11134,27229,24974
