,Xinbeitou,Banqiao(Circular Line),Jiannan Rd. ,Taipei Nangang Exhibition Center,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Banqiao(Bannan Line),Dahu Park ,Taipei 101/World Trade Center,Daan Park,Ximen ,Zhongxiao Fuxing,Tamsui,Sanchong ,Yuanshan,Taipei Zoo,Xindian ,Taipei Main Station
1,4086,7348,9757,25063,18736,22873,35362,3222,34792,2679,23724,6477,46251,35788,25934,6809,23323,3874,9798,97987
2,4368,7335,10100,26134,19331,23050,36735,3199,35082,2921,24745,6697,48514,36458,27419,6842,23966,4356,10254,100587
3,4715,7755,10114,27017,20272,23439,38224,3226,35272,3116,24611,7106,49064,37400,28601,6901,25534,4412,10370,105880
4,4912,10184,11344,36355,24685,26119,45970,3375,40724,3045,28998,7322,59840,44432,29322,7253,28545,4397,10617,140922
5,6153,8153,11661,26631,19038,25479,47826,3773,35303,3606,24324,10226,64712,41220,29208,6650,29717,7350,10529,125511
6,5471,7193,9792,23202,15311,20768,38598,3623,29801,2739,21114,10100,52636,31638,29542,5951,26065,6974,9285,110720
7,4218,7442,9885,33732,19559,23111,35033,2828,34547,2906,24561,6766,47322,35245,27917,6713,23282,4394,10225,102470
8,4595,7536,9822,25771,18963,23958,36781,3050,35791,2915,23858,6710,48301,36712,27012,7086,23605,4243,10083,103893
9,4681,7836,10750,26395,19349,25845,39374,3120,37163,3066,24572,7537,50263,38860,29945,7058,24903,5498,10981,107053
10,4609,7978,10586,27863,20077,25966,40247,3371,37887,3046,26846,7552,51126,57291,29927,7002,25229,5430,11009,112624
11,5289,11907,12514,34197,24408,29698,49432,3841,48704,3317,31171,8234,64048,59067,32798,7555,27603,5728,11796,153047
12,6019,12762,13082,24899,20277,28995,52103,3663,55371,5120,27914,12846,73946,59192,37466,8875,29445,11208,12472,146044
13,5296,9687,9897,18810,17183,23580,39115,3103,41533,3513,22455,11541,55805,42614,34449,6013,24783,8391,10734,127454
14,4225,8370,10118,25060,18010,24297,35859,3057,38415,3055,23939,6962,49281,46280,30893,6634,23337,5009,10283,107720
15,4517,8033,10381,26086,18539,25145,37162,3099,38297,3030,24040,7412,49597,44090,29612,6961,24612,5459,10609,106755
16,4559,8118,10675,26352,19593,25107,39731,3101,39579,2924,24628,7148,51028,48778,28857,6920,25212,4630,10700,110959
17,4718,8666,10756,27334,19554,26431,40036,3251,40787,3114,25956,7419,51595,46592,30721,7046,27510,5953,11031,114948
18,5785,11589,12717,49106,27086,28495,48583,3341,48495,3452,28552,8080,62831,57276,32819,7476,30377,6113,11298,154462
19,5970,13041,12524,48894,22113,28929,52885,3360,58542,4239,24959,11730,72249,52433,36224,7643,30156,10951,11438,145439
20,5557,9668,9689,42016,19295,22400,40082,3039,43134,3297,20549,9054,57051,47072,34794,5981,22601,8256,9871,132041
21,4391,8457,10136,42943,22256,24412,36455,3005,39242,3145,23884,7241,48335,49203,30802,6903,23695,5722,10369,110340
22,4641,8070,10194,26098,18434,25533,37627,3102,38394,2954,23736,7244,48756,36688,29762,6742,25084,5642,10682,106727
23,4843,8097,10518,25962,19572,24865,40000,3238,38808,2770,24886,6951,51315,37122,27439,7026,24409,4329,10374,109368
24,4919,8547,10676,25993,20811,24511,40472,3578,39339,2832,26302,6947,51464,38648,26847,6993,24321,4199,10415,118171
25,5442,12225,12269,27200,25376,26299,48772,3557,47901,3132,30412,7668,61343,45209,29424,7789,27242,4851,11129,163156
26,5296,10514,11079,13526,16126,21833,46903,3095,47142,2554,21577,7869,61772,37468,26275,5377,21769,5110,9028,119806
27,5164,9076,9227,13825,14379,23216,41039,3092,39383,3224,20925,9075,51703,29508,32993,6064,26838,7666,10112,123231
28,4382,8249,9799,25601,18738,25467,37110,3006,39368,3207,24833,7209,49092,34726,31534,6939,24461,5275,10736,109978
29,4851,8065,10369,26367,19116,26430,38709,3081,39130,3103,24644,7479,50432,36199,30723,7244,25677,5386,10828,108040
30,5016,8296,11134,27229,20219,25716,41070,3344,39576,3093,25567,7201,52853,38197,28843,7034,24974,4460,10659,109403
