,Banqiao(Circular Line),Xindian ,Sanchong ,Banqiao(Bannan Line),Xiaobitan,Zhongxiao Fuxing,Ximen ,Xinbeitou,Dahu Park ,Taipei Zoo,Zhongshan ,Jiantan ,Nangang ,Tamsui,Taipei Main Station,Jiannan Rd. ,Taipei 101/World Trade Center,Yuanshan,Taipei Nangang Exhibition Center,Daan Park
1,7348,9798,6809,34792,3222,35788,46251,4086,2679,3874,35362,22873,18736,25934,97987,9757,23724,23323,25063,6477
2,7335,10254,6842,35082,3199,36458,48514,4368,2921,4356,36735,23050,19331,27419,100587,10100,24745,23966,26134,6697
3,7755,10370,6901,35272,3226,37400,49064,4715,3116,4412,38224,23439,20272,28601,105880,10114,24611,25534,27017,7106
4,10184,10617,7253,40724,3375,44432,59840,4912,3045,4397,45970,26119,24685,29322,140922,11344,28998,28545,36355,7322
5,8153,10529,6650,35303,3773,41220,64712,6153,3606,7350,47826,25479,19038,29208,125511,11661,24324,29717,26631,10226
6,7193,9285,5951,29801,3623,31638,52636,5471,2739,6974,38598,20768,15311,29542,110720,9792,21114,26065,23202,10100
7,7442,10225,6713,34547,2828,35245,47322,4218,2906,4394,35033,23111,19559,27917,102470,9885,24561,23282,33732,6766
8,7536,10083,7086,35791,3050,36712,48301,4595,2915,4243,36781,23958,18963,27012,103893,9822,23858,23605,25771,6710
9,7836,10981,7058,37163,3120,38860,50263,4681,3066,5498,39374,25845,19349,29945,107053,10750,24572,24903,26395,7537
10,7978,11009,7002,37887,3371,57291,51126,4609,3046,5430,40247,25966,20077,29927,112624,10586,26846,25229,27863,7552
11,11907,11796,7555,48704,3841,59067,64048,5289,3317,5728,49432,29698,24408,32798,153047,12514,31171,27603,34197,8234
12,12762,12472,8875,55371,3663,59192,73946,6019,5120,11208,52103,28995,20277,37466,146044,13082,27914,29445,24899,12846
13,9687,10734,6013,41533,3103,42614,55805,5296,3513,8391,39115,23580,17183,34449,127454,9897,22455,24783,18810,11541
14,8370,10283,6634,38415,3057,46280,49281,4225,3055,5009,35859,24297,18010,30893,107720,10118,23939,23337,25060,6962
15,8033,10609,6961,38297,3099,44090,49597,4517,3030,5459,37162,25145,18539,29612,106755,10381,24040,24612,26086,7412
16,8118,10700,6920,39579,3101,48778,51028,4559,2924,4630,39731,25107,19593,28857,110959,10675,24628,25212,26352,7148
17,8666,11031,7046,40787,3251,46592,51595,4718,3114,5953,40036,26431,19554,30721,114948,10756,25956,27510,27334,7419
18,11589,11298,7476,48495,3341,57276,62831,5785,3452,6113,48583,28495,27086,32819,154462,12717,28552,30377,49106,8080
19,13041,11438,7643,58542,3360,52433,72249,5970,4239,10951,52885,28929,22113,36224,145439,12524,24959,30156,48894,11730
20,9668,9871,5981,43134,3039,47072,57051,5557,3297,8256,40082,22400,19295,34794,132041,9689,20549,22601,42016,9054
21,8457,10369,6903,39242,3005,49203,48335,4391,3145,5722,36455,24412,22256,30802,110340,10136,23884,23695,42943,7241
22,8070,10682,6742,38394,3102,36688,48756,4641,2954,5642,37627,25533,18434,29762,106727,10194,23736,25084,26098,7244
23,8097,10374,7026,38808,3238,37122,51315,4843,2770,4329,40000,24865,19572,27439,109368,10518,24886,24409,25962,6951
24,8547,10415,6993,39339,3578,38648,51464,4919,2832,4199,40472,24511,20811,26847,118171,10676,26302,24321,25993,6947
25,12225,11129,7789,47901,3557,45209,61343,5442,3132,4851,48772,26299,25376,29424,163156,12269,30412,27242,27200,7668
26,10514,9028,5377,47142,3095,37468,61772,5296,2554,5110,46903,21833,16126,26275,119806,11079,21577,21769,13526,7869
27,9076,10112,6064,39383,3092,29508,51703,5164,3224,7666,41039,23216,14379,32993,123231,9227,20925,26838,13825,9075
28,8249,10736,6939,39368,3006,34726,49092,4382,3207,5275,37110,25467,18738,31534,109978,9799,24833,24461,25601,7209
29,8065,10828,7244,39130,3081,36199,50432,4851,3103,5386,38709,26430,19116,30723,108040,10369,24644,25677,26367,7479
30,8296,10659,7034,39576,3344,38197,52853,5016,3093,4460,41070,25716,20219,28843,109403,11134,25567,24974,27229,7201
