,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Zhongxiao Fuxing,Taipei Zoo,Xindian ,Xinbeitou,Dahu Park ,Taipei 101/World Trade Center,Tamsui,Sanchong ,Taipei Main Station,Daan Park,Ximen ,Jiannan Rd. ,Taipei Nangang Exhibition Center,Yuanshan
1,19320,32787,40659,2586,48168,5625,11022,6091,3173,29954,34135,6467,135757,7588,67153,11105,36671,28279
2,23011,34117,46799,2786,55335,5999,11639,7086,3091,33525,36034,7009,178640,8300,77482,12325,36697,29692
3,16837,38179,48614,2384,53046,10536,12232,9792,3241,29426,39583,7413,169657,11734,86945,11834,23474,32819
4,14010,31757,38950,2233,41907,11308,11315,9302,3489,25422,42998,5591,148671,10889,70663,11480,14591,27159
5,17131,32328,38359,2419,44844,6124,10982,5758,3083,29817,36932,6364,136623,7608,65383,9940,28154,26881
6,17500,34209,39480,2432,46014,7412,11790,5902,3486,29277,37694,6320,133164,7857,65338,10427,28547,29010
7,17345,34475,40344,2294,47892,7375,11704,5705,3398,28068,37703,6495,134543,7912,65624,11612,28770,29193
8,17894,35675,40861,2516,68010,7917,11694,6029,3353,29395,38149,6405,140424,7913,72066,11383,29284,28636
9,22307,37486,47795,3074,79022,8486,11840,6800,3708,33105,40184,6865,182788,8723,83979,12185,36876,30742
10,17388,40422,49698,3452,77259,12199,13899,8754,5071,29724,45117,6936,182193,12195,96937,12712,27800,37005
11,17294,34778,40232,2252,61635,13575,13446,7330,3810,26822,45868,5631,171368,10853,80090,9883,23663,30407
12,17350,34401,38135,2249,63638,6291,11292,5642,3222,28137,37795,6208,138877,7289,68350,9989,27774,27777
13,17227,33553,39051,2447,57766,7078,11307,6314,3133,28482,36178,6331,134085,7529,66669,10528,28515,28951
14,17614,34218,40251,2405,62141,7352,11895,6175,3424,28867,37544,6330,136301,8052,68863,11919,28751,29193
15,18015,35809,40930,2615,60348,8123,11705,6279,3409,31173,38910,6349,145239,8294,74151,12136,29937,31279
16,23202,40139,47764,2614,70341,8462,12208,6820,3652,36167,42095,6786,188354,8865,84197,12596,45851,33974
17,20030,36266,51200,2242,72506,9541,11102,8025,3151,37696,37766,7373,192566,9424,96843,12727,40852,34099
18,16695,34724,41068,2292,58551,12481,12039,7560,4052,34266,49346,6029,190224,10930,83392,12350,36707,30927
19,19517,33192,38972,2593,60369,6006,11002,5585,3054,31951,37685,6410,144024,7289,68474,10638,41857,26776
20,17067,34617,39652,2471,46742,7893,11668,6341,3197,28618,37697,6502,135468,8009,68772,10860,28838,28869
21,17475,35661,40743,2475,45442,7788,11641,5977,3312,28668,38808,6603,141859,8390,68272,10528,29296,32757
22,18498,34092,43122,2763,47626,6419,11509,6591,3124,31991,36055,6532,152848,7820,71220,11158,30671,28432
23,28336,37884,48833,2723,55792,6561,12609,6887,3435,45348,38288,7026,216196,8823,80802,12375,45539,32917
24,16712,33655,42639,2112,45967,9126,10570,7303,3334,32867,39667,5361,158949,8909,78625,10478,33069,27268
25,15784,32669,38969,2203,40966,11360,11426,7154,3613,25788,46339,5284,166408,10219,70312,10909,35925,30303
26,19665,32596,38294,2425,44047,6216,10974,5787,3146,28192,37857,6253,140683,7285,64476,10493,45198,29480
27,17716,34189,39470,2462,44836,7145,11365,6518,3234,28740,36993,6421,134528,8105,66503,10296,28915,29129
28,17926,34008,40914,2394,45815,6448,11429,6438,3306,32251,36415,6374,135776,7727,67243,10811,29778,28639
29,19260,35821,41158,2595,47206,7993,11764,6316,3448,33658,38924,6505,142045,8416,69374,10936,34445,29681
30,22864,39686,47957,2618,53454,8638,12356,7023,3815,38645,41982,6862,185274,8942,82926,13408,35951,33880
