,Xinbeitou,Banqiao(Circular Line),Jiannan Rd. ,Taipei Nangang Exhibition Center,Nangang ,Jiantan ,Zhongshan ,Xiaobitan,Banqiao(Bannan Line),Dahu Park ,Taipei 101/World Trade Center,Daan Park,Ximen ,Zhongxiao Fuxing,Tamsui,Sanchong ,Yuanshan,Taipei Zoo,Xindian ,Taipei Main Station
1,4055,6677,6828,14773,14387,23411,32883,3668,30298,3305,14417,6536,41772,34012,28355,4996,20812,5976,10493,105932
2,3563,5109,6605,12136,10473,19748,32314,3604,24443,3284,13769,8176,42786,32600,24914,4451,19135,5597,10000,83909
3,3113,4742,5753,10373,9322,17650,26205,3217,21856,2835,11289,7283,35598,26078,24796,3943,16730,4638,8691,77016
4,3327,5569,8228,24648,15352,23773,30096,2999,33226,2859,19952,6383,41093,34244,28041,5511,22473,4012,9822,91442
5,3395,5680,8735,25051,15784,24724,32818,3010,33647,2857,20274,6639,42964,35540,27542,5521,23322,4151,10033,92851
6,3391,5717,8759,25644,15966,24782,33599,3045,34293,3010,20662,6842,43446,36941,27220,5640,23538,4073,10251,95950
7,3545,5834,8884,25528,16044,24636,34657,3106,34717,2783,20905,6850,44249,36760,27668,5637,23854,4137,10046,101084
8,3939,7756,9806,26226,19827,25730,41778,3582,40423,3135,23073,7317,51561,43920,28866,5991,26224,4269,10515,145088
9,3473,6173,7597,13335,12676,19360,36160,3905,29668,2795,15593,8251,46060,38094,24235,4594,19653,4142,9750,107493
10,2560,5337,6159,10548,10322,15895,26521,3458,24161,2218,11966,6177,34724,29278,24004,3577,15468,3506,7619,84509
11,3370,5733,8333,25234,15830,24360,31128,2922,34485,2773,20827,6585,43020,33712,28534,5640,22742,4054,9700,96914
12,3510,5839,8582,25776,15849,23746,32359,3159,34733,2756,20802,6570,43516,34628,26688,5630,23552,3693,9758,95503
13,3815,5864,8880,26244,16532,25888,34471,3287,35190,3141,21269,7396,46239,36321,28905,5859,24643,4392,10490,99477
14,3759,5936,8976,26323,16444,25710,34698,3280,35527,3061,21507,7019,45385,36595,28612,5799,24636,4180,10239,101556
15,3999,7560,10325,26940,19686,27192,41953,3944,40610,3464,24691,7671,58385,43501,30761,6305,27083,4414,10783,134357
16,3738,6136,7402,13664,12908,20983,38405,4238,30322,2865,16755,7716,51173,38013,24328,4745,20447,4542,9068,107636
17,3320,5573,6806,11352,11018,19037,30327,3991,25665,3085,14038,7848,43599,29228,26784,4255,18139,4294,8820,92094
18,3479,5754,8692,25857,15835,23264,30403,3263,34638,2935,20763,6335,42366,33146,27415,5697,22788,3596,9692,97309
19,3595,5925,9031,25882,16263,23754,32669,3224,35404,2763,21538,6493,44005,35597,25823,5732,22988,3507,9692,95807
20,4002,6192,9435,26501,16858,24780,35411,3440,36551,2950,22656,6922,47885,37731,27990,6028,24553,3734,10012,102895
21,4059,6093,9256,26497,17582,23768,34841,3477,36878,2962,22305,6837,45182,37573,27338,5865,24327,3903,10136,104668
22,4275,7453,10413,26597,20279,23536,39726,3785,41652,2897,24074,6906,52616,43112,26666,6096,25165,3712,9912,134123
23,3956,6320,8180,13437,12723,17850,38646,4136,29885,2211,16698,6673,54434,39253,20071,4512,18919,2717,7591,105170
24,3709,5985,7867,11935,11534,21584,31788,4152,26968,3410,15247,9608,48087,30896,34861,4728,20416,5722,10681,110776
25,3776,5983,9020,26246,16403,24820,32702,3342,35270,3035,21906,6795,45012,34203,29879,5940,23973,3900,9948,101323
26,3805,6003,9484,26582,16855,25200,34079,3351,31758,3069,22282,7052,46857,36571,28506,5771,24417,4265,10171,100327
27,4008,6301,9777,26668,17542,24524,35662,3312,36605,2873,22889,7009,48422,37755,27398,6116,24460,4143,10004,103179
28,3805,6376,9326,26371,17393,24230,35470,3412,37365,2816,23404,6779,46960,37614,26856,6010,24061,3724,9625,107532
29,4336,7675,11086,27261,21044,26032,43146,3888,42108,3103,26160,7425,57274,44232,30021,6334,27114,5001,10479,142610
30,4598,6871,8986,14878,14498,24483,42083,4756,33991,3168,20157,8805,62375,41572,31125,5409,23363,5959,10220,120308
31,3746,6190,7818,12294,12618,21857,32865,4227,28531,3340,16347,8341,48222,32360,32033,4984,20645,6442,9717,107408
