,Banqiao(Circular Line),Xindian ,Sanchong ,Banqiao(Bannan Line),Xiaobitan,Zhongxiao Fuxing,Ximen ,Xinbeitou,Dahu Park ,Taipei Zoo,Zhongshan ,Jiantan ,Nangang ,Tamsui,Taipei Main Station,Jiannan Rd. ,Taipei 101/World Trade Center,Yuanshan,Taipei Nangang Exhibition Center,Daan Park
1,3039,5732,2887,14970,1902,18505,26466,2440,1378,2396,21712,10817,6776,14861,46382,4719,10511,12336,9724,4769
2,3942,5850,3215,18809,2208,20275,25160,2851,1450,2184,20260,11879,8998,16617,55734,4517,10565,12065,9707,3704
3,5181,7550,4680,23923,2107,24148,30907,2780,2044,2725,24266,15120,12305,21143,66432,6705,15661,16786,18567,4904
4,5250,7380,4537,24607,2196,24680,32160,2677,2153,2657,25154,15191,12383,20498,67488,7196,15885,16559,18659,5279
5,5150,7089,4454,23631,1967,24305,30523,2578,2054,2601,24907,14349,12199,19948,68514,6763,15412,16193,18084,4729
6,6409,7577,4333,25860,2048,27919,34574,2725,2203,2651,28651,14541,13643,20363,88234,7187,16796,16892,18934,4865
7,4064,6178,3036,16764,1747,21795,28033,2234,1899,2549,23669,11876,8046,15142,58718,5348,10068,15262,10448,5437
8,3275,5417,2415,12962,1505,15851,20770,1750,1511,1976,17435,8890,6561,14134,47184,4405,7903,10782,7769,5095
9,4726,6352,3989,21712,1793,20996,27280,2147,1832,2319,21370,11295,10195,18793,59637,5887,14586,13862,16393,4198
10,4585,6649,4115,21942,1968,22102,27601,2317,1910,2377,22054,11915,10472,18294,59710,6260,14035,14213,16523,4319
11,4763,6843,4049,22187,2016,22494,28727,2125,1878,1950,23114,11329,11021,17220,59369,6236,14038,14454,16345,4352
12,4578,6836,4079,22093,2227,21749,27749,2340,1894,2029,22435,11962,11370,17615,60618,5992,13872,14893,16206,4434
13,5325,6879,4143,23416,2100,24303,31641,2351,1911,1905,26856,12604,11886,17094,72699,6399,14824,15418,16197,4651
14,3511,4515,2658,14977,1931,19895,26933,2014,1134,1403,22586,8613,7481,10901,49446,4564,8984,9495,8789,3817
15,3157,4237,2195,12656,1634,14953,21596,1800,1216,1488,18279,7740,5923,11041,44749,4008,7356,8424,5914,3559
16,4733,6089,3837,21505,2064,20874,26775,2282,1675,1652,21358,10425,10168,14904,56843,5577,13494,13083,15643,4200
17,4692,6553,3887,20934,2005,21521,27577,2323,1810,2025,22004,11481,10127,16091,56630,6018,13641,13680,15959,4672
18,4716,7059,4057,21099,1769,22092,28675,2334,1909,2287,23065,12075,10131,16966,58215,6094,13999,14177,16047,4805
19,4699,6606,3938,21063,1741,21628,28068,2291,1758,1997,22979,11535,10377,16231,59149,5873,14552,13925,15884,4494
20,5553,7103,4186,23273,1910,24873,33333,2471,1930,2318,27068,13607,11584,17732,74348,6538,16161,15323,16123,4891
21,3694,5727,3206,15637,1767,20924,28386,2536,1751,2859,24358,12715,8041,16467,55959,5063,10796,13625,8208,5235
22,3289,4923,2510,12869,1553,15016,22858,1824,1308,2024,19112,8698,6621,13881,45852,3878,9223,9418,6476,4400
23,4629,6041,3831,20743,1710,20905,28173,1916,1700,2020,21463,11170,9785,15793,58489,5900,13381,13545,16149,3891
24,4523,6208,3861,21592,1923,21926,28383,2226,1689,1900,22252,10926,10758,15452,58712,5862,13747,13738,17544,4045
25,4755,6221,3917,22572,1917,22611,28663,2167,1648,1691,22822,10803,10885,14626,60185,6075,14017,13325,17119,3998
26,4867,6145,4012,22766,1978,22705,29209,2254,1722,1826,23293,11189,10860,14983,61829,6121,14249,13665,17407,4075
27,5658,6406,4226,24883,1956,26202,34260,2306,1719,1896,27796,12447,11953,16015,74643,6918,15647,15058,17968,4289
28,3781,5711,3177,17408,1889,22096,33130,2382,1696,2243,26933,12326,8049,15044,59203,5559,11416,16440,8439,5085
29,3627,6150,3146,15541,1811,17309,27046,2252,1852,3417,21950,12771,6852,17043,52608,5057,8969,12006,7017,5248
30,4917,6915,4123,22644,1894,22479,30264,2191,1867,2227,23550,12390,10597,17646,62445,6403,14872,14562,16418,4405
31,4939,6808,4276,23502,2093,20964,31348,2162,1785,1840,25231,11930,11068,16498,62823,6462,15218,14686,16646,4790
